Date,high,low,close,volume,open
2023-01-03,36.93000030517578,33.369998931884766,33.599998474121094,8514300,36.4900016784668
2023-01-04,38.5,34.540000915527344,37.70000076293945,17737400,34.59000015258789
2023-01-05,35.2599983215332,32.75,33.529998779296875,16934500,34.709999084472656
2023-01-06,33.75,31.549999237060547,33.2599983215332,15527800,33.66999816894531
2023-01-09,39.380001068115234,34.720001220703125,38.27000045776367,18904100,35.189998626708984
2023-01-10,43.290000915527344,37.7400016784668,43.22999954223633,24496700,37.7599983215332
2023-01-11,43.84000015258789,40.630001068115234,43.790000915527344,16152700,41.959999084472656
2023-01-12,47.650001525878906,41.66999816894531,47.54999923706055,20514700,45.150001525878906
2023-01-13,50.630001068115234,45.380001068115234,49.97999954223633,22437800,46.2400016784668
2023-01-17,54.97999954223633,50.70000076293945,54.13999938964844,23521200,53.310001373291016
2023-01-18,57.33000183105469,50.0,50.209999084472656,24905700,54.220001220703125
2023-01-19,51.0,47.91999816894531,49.41999816894531,14073300,49.209999084472656
2023-01-20,55.189998626708984,48.79999923706055,55.15999984741211,15433900,50.380001068115234
2023-01-23,56.689998626708984,53.209999084472656,55.959999084472656,17736400,55.0
2023-01-24,56.470001220703125,53.34000015258789,53.560001373291016,12413900,54.20000076293945
2023-01-25,53.40999984741211,49.599998474121094,52.7599983215332,13343600,51.5
2023-01-26,56.099998474121094,51.970001220703125,53.02000045776367,12614900,56.060001373291016
2023-01-27,62.290000915527344,52.40999984741211,61.369998931884766,24431000,52.939998626708984
2023-01-30,61.86000061035156,55.66999816894531,56.15999984741211,14553900,60.0099983215332
2023-01-31,60.439998626708984,55.90999984741211,58.47999954223633,14751600,57.70000076293945
2023-02-01,66.22000122070312,56.650001525878906,65.69999694824219,18840800,59.08000183105469
2023-02-02,85.54000091552734,68.30999755859375,81.45999908447266,43911200,68.45999908447266
2023-02-03,87.62999725341797,73.0199966430664,74.62999725341797,37125500,73.72000122070312
2023-02-06,75.9800033569336,70.5199966430664,74.58999633789062,17998400,73.18000030517578
2023-02-07,73.4800033569336,67.30000305175781,71.41999816894531,19819700,73.43000030517578
2023-02-08,73.97000122070312,68.30000305175781,69.44000244140625,11626500,70.83000183105469
2023-02-09,68.93000030517578,59.0,59.630001068115234,23920200,68.48999786376953
2023-02-10,61.7400016784668,55.970001220703125,57.09000015258789,17359900,58.2599983215332
2023-02-13,57.09000015258789,53.65999984741211,56.400001525878906,14435900,55.52000045776367
2023-02-14,61.08000183105469,55.029998779296875,59.029998779296875,23945800,56.33000183105469
2023-02-15,69.45999908447266,59.459999084472656,69.33999633789062,25552900,60.209999084472656
2023-02-16,73.30000305175781,63.90999984741211,65.58999633789062,31704800,65.9000015258789
2023-02-17,67.9000015258789,61.5099983215332,65.19999694824219,23252200,64.94000244140625
2023-02-21,66.87000274658203,61.849998474121094,62.06999969482422,19845700,63.31999969482422
2023-02-22,67.4800033569336,57.349998474121094,61.18000030517578,32937500,62.5
2023-02-23,64.6500015258789,59.88999938964844,62.36000061035156,16698500,63.959999084472656
2023-02-24,61.59000015258789,56.79999923706055,58.439998626708984,14546200,60.880001068115234
2023-02-27,60.970001220703125,58.16999816894531,58.959999084472656,13043000,59.939998626708984
2023-02-28,67.5,59.41999816894531,64.83000183105469,24843900,59.68000030517578
2023-03-01,66.79000091552734,63.09000015258789,64.66999816894531,15827100,65.30000305175781
2023-03-02,63.900001525878906,57.5,63.70000076293945,18091700,61.06999969482422
2023-03-03,65.55999755859375,61.380001068115234,64.51000213623047,17579000,61.63999938964844
